Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
ELUM3;36.0;11.12;1.5;0.94;0,00%;0.886;2.31;14.76;2.51;10.02;10.02;6,37%;8,46%;2.02;9,40%;13,47%;0.0;443231000.0;0.08;8,40%
CPLE11;50.12;11.12;1.29;1.145;0,00%;0.495;-165.5;6.43;-1.13;10.06;7.63;17,81%;10,29%;0.98;8,58%;11,62%;0.0;23130000000.0;0.87;2,05%
MILS3;14.19;11.15;1.98;1.869;3,27%;0.742;3.04;5.31;-3.04;7.53;5.31;35,19%;16,79%;2.78;18,59%;17,75%;11844700.0;1678720000.0;1.37;26,98%
BRBI11;18.68;11.2;2.5;6.133;9,96%;0.112;3.09;93.06;3.09;35.56;23.48;6,59%;54,74%;1.04;12,80%;22,35%;6479320.0;783298000.0;20.55;11,21%
RIPI3;48.01;11.23;-28.94;-7.449;0,00%;7.092;-59.55;-8.79;-16.76;-9.31;-9.31;84,70%;-66,31%;0.87;-99,10%;-257,61%;0.0;-49103000.0;-2.44;5,82%
CZLT33;29.23;11.24;1.39;0.526;0,00%;0.145;1.87;3.1;-0.29;10.26;4.03;16,97%;9,14%;1.58;5,31%;12,36%;0.0;5691680000.0;3.93;7,88%
CGAS5;131.8;11.29;12.12;1.507;7,36%;1.169;12.34;5.73;-1.86;8.45;6.89;26,30%;13,34%;1.53;23,37%;107,28%;76823.7;1441480000.0;6.62;-1,40%
IGTI3;3.17;11.3;1.42;4.428;1,77%;0.693;4.71;7.08;-2.62;9.45;8.31;62,58%;39,18%;2.49;12,06%;12,52%;151405.0;4651640000.0;0.85;13,83%
HYPE3;21.34;11.31;1.08;1.756;5,48%;0.537;6.98;7.72;-2.05;12.1;10.25;22,73%;15,46%;1.47;7,63%;9,55%;68827700.0;12522000000.0;0.74;5,19%
RIPI4;48.5;11.35;-29.24;-7.525;0,00%;7.164;-60.16;-8.88;-16.93;-9.4;-9.4;84,70%;-66,31%;0.87;-99,10%;-257,61%;0.0;-49103000.0;-2.44;5,82%
SOJA3;8.11;11.36;0.83;0.491;3,49%;0.281;0.58;6.19;1.78;8.33;6.49;7,93%;7,96%;3.67;6,55%;7,28%;8166330.0;1390680000.0;0.96;23,71%
CURY3;36.2;11.43;8.07;2.065;10,86%;1.972;7.6;7.9;-14.29;7.67;7.49;26,16%;20,02%;1.84;39,40%;70,60%;117937000.0;1381710000.0;1.07;32,58%
MDIA3;22.26;11.44;0.92;0.723;6,14%;0.601;2.1;9.01;5.0;8.43;5.65;8,02%;6,32%;2.61;9,07%;8,01%;16600800.0;8238160000.0;0.17;5,46%
EBCO4;1.0;11.46;0.8;0.33;0,00%;0.351;50.21;8.51;-14.31;8.26;8.26;3,88%;2,90%;1.01;5,04%;7,00%;0.0;828097000.0;0.02;6,09%
CEBR3;30.71;11.49;2.23;4.615;14,59%;1.544;3.42;15.93;3.89;12.43;11.74;28,96%;50,75%;7.12;15,07%;19,36%;91795.3;994854000.0;0.0;7,98%
TEMP3;4.15;11.64;4.92;0.98;0,00%;2.014;9.98;10.6;19.39;9.55;7.74;9,25%;8,42%;1.41;34,49%;42,27%;0.0;135736000.0;0.23;-13,11%
ENGI4;10.32;11.74;1.35;0.733;2,99%;0.311;3.47;3.65;-0.63;8.44;6.5;20,09%;8,86%;1.56;10,16%;11,53%;118164.0;19198400000.0;2.32;8,33%
CEBR6;31.38;11.74;2.27;4.715;15,71%;1.578;3.49;16.28;3.98;12.78;12.07;28,96%;50,75%;7.12;15,07%;19,36%;175764.0;994854000.0;0.0;7,98%
NAFG3;64.37;11.8;2.76;1.102;0,00%;1.153;3.2;7.35;60.48;8.64;6.57;14,99%;9,28%;2.52;19,92%;23,42%;0.0;316392000.0;0.81;9,49%
NAFG4;64.42;11.81;2.76;1.103;0,00%;1.154;3.2;7.36;60.52;8.65;6.57;14,99%;9,28%;2.52;19,92%;23,42%;0.0;316392000.0;0.81;9,49%
ESTC11;23.5;11.83;0.73;0.389;0,00%;0.216;2.69;2.35;-0.51;6.99;3.7;16,57%;3,26%;1.41;11,12%;6,16%;0.0;2945030000.0;1.94;6,37%
UGPA3;26.05;11.85;1.86;0.204;4,99%;0.589;3.97;6.33;-2.34;9.56;7.1;3,23%;1,79%;1.62;12,19%;15,66%;174628000.0;15666300000.0;1.39;4,58%
BRIT3;3.06;11.85;0.88;1.003;0,00%;0.339;3.39;7.18;-1.03;12.58;4.16;13,96%;8,45%;1.54;6,52%;7,44%;0.0;1557890000.0;1.25;22,57%
BMEB3;72.95;11.98;3.94;0.0;1,98%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;32,90%;350332.0;2290040000.0;0.0;23,33%
FIBR3;66.3;12.03;2.59;2.01;7,59%;0.899;9.59;5.13;-2.54;7.17;5.29;39,18%;16,75%;1.46;22,95%;21,57%;0.0;14149000000.0;1.46;22,71%
EBCO3;1.05;12.03;0.84;0.346;0,00%;0.368;52.72;8.94;-15.02;8.68;8.68;3,88%;2,90%;1.01;5,04%;7,00%;0.0;828097000.0;0.02;6,09%
ENGI11;53.25;12.11;1.4;0.757;2,90%;0.321;3.58;3.77;-0.65;8.56;6.59;20,09%;8,86%;1.56;10,16%;11,53%;150439000.0;19198400000.0;2.32;8,33%
MPLU3;26.8;12.2;17.37;6.877;0,00%;2.676;50.65;10.34;66.01;7.71;7.28;66,52%;56,37%;1.06;129,57%;142,40%;0.0;250279000.0;0.0;-18,88%
UGPA4;27.1;12.32;1.93;0.212;0,00%;0.613;4.13;6.59;-2.43;9.81;7.29;3,23%;1,79%;1.62;12,19%;15,66%;0.0;15666300000.0;1.39;4,58%
PORT3;18.76;12.36;3.01;2.621;4,08%;1.305;-299.82;8.87;-3.29;11.22;8.21;29,54%;21,50%;0.97;16,14%;24,37%;0.0;2759280000.0;0.94;5,67%
SEER3;10.53;12.36;1.02;0.625;1,46%;0.404;6.65;3.17;-1.25;4.36;2.88;19,71%;5,06%;1.27;14,03%;8,25%;14770900.0;1328930000.0;0.59;11,96%
EEEL4;410.0;12.37;1.12;1.867;0,00%;0.456;4.97;4.57;-1.04;8.38;8.3;40,86%;15,13%;2.4;10,34%;9,09%;0.0;3497290000.0;0.98;16,60%
AMPI3;55.0;12.41;2.74;0.247;0,00%;0.177;5.68;0.98;-0.68;1.99;1.73;25,18%;15,11%;1.12;21,22%;22,09%;0.0;240799000.0;4.48;14,12%
ODPV3;13.38;12.54;5.7;3.018;7,23%;3.747;-65.49;9.76;-31.9;9.37;8.64;30,90%;24,07%;0.8;46,53%;45,45%;62965300.0;1281810000.0;0.0;7,54%
BRML3;8.26;12.56;0.57;4.133;0,00%;0.34;6.6;6.1;-1.1;7.84;7.24;67,80%;37,15%;2.42;6,02%;4,53%;0.0;11910400000.0;0.28;13,87%
CXSE3;18.11;12.66;4.01;0.0;7,19%;3.68;64.37;-363.6;65.32;-352.32;-355.02;0,00%;0,00%;1.7;-1,14%;31,67%;83394700.0;13550500000.0;0.0;0,00%
TMGC7;800.01;12.68;1.63;1.164;0,00%;1.12;6.77;17.85;11.96;16.52;16.52;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%
SCAR3;14.14;12.68;0.76;2.723;50,22%;0.269;2.69;12.55;-0.64;19.09;10.52;21,70%;26,78%;1.78;2,67%;6,03%;691613.0;1068230000.0;0.96;3,65%
EEEL3;421.01;12.7;1.15;1.917;0,00%;0.468;5.1;4.69;-1.07;8.5;8.42;40,86%;15,13%;2.4;10,34%;9,09%;0.0;3497290000.0;0.98;16,60%
ALPA3;10.66;12.8;2.19;1.595;16,38%;1.194;7.11;9.7;-117.47;10.6;7.87;16,45%;12,44%;1.61;14,72%;17,11%;210369.0;3323900000.0;0.37;2,76%
BMEB4;78.09;12.83;4.22;0.0;2,04%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;32,90%;2861790.0;2290040000.0;0.0;23,33%
ETER4;9.85;12.93;0.72;0.52;0,00%;0.43;2.45;26.98;10.85;33.38;9.17;1,93%;4,03%;1.66;1,77%;5,57%;0.0;845709000.0;0.21;1,87%
MTSA4;60.49;12.96;1.13;0.977;7,64%;0.931;1.53;13.66;1.58;9.86;7.08;7,15%;7,54%;4.96;10,11%;8,71%;100042.0;471154000.0;0.02;-4,39%
AVIL3;0.93;12.97;4.16;2.338;0,00%;2.227;3.89;10.0;9.02;9.4;9.4;23,38%;18,01%;5.14;40,99%;32,03%;0.0;1106590000.0;0.52;1,74%
DXTG4;3.68;13.02;1.32;0.675;0,00%;0.689;2.44;6.26;7.48;6.33;6.33;10,78%;6,60%;2.77;12,31%;10,10%;0.0;768999000.0;0.04;8,30%
